"filename", "language", "Python", "XML", "SQL", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Debug\net6.0\OilBlendSystem.BLL.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 0, 10, 5, 24
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Debug\net6.0\OilBlendSystem.BLL.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Debug\net6.0\OilBlendSystem.BLL.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 0, 1, 1, 9
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Debug\net6.0\OilBlendSystem.BLL.deps.json", "JSON", 0, 0, 0, 0, 376, 0, 0, 0, 376
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\OilBlendSystem.BLL.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 162, 0, 0, 0, 162
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\OilBlendSystem.BLL.csproj.nuget.g.props", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 22
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\OilBlendSystem.BLL.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 0, 1, 1, 5
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Release\net6.0\OilBlendSystem.BLL.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 0, 10, 5, 24
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Release\net6.0\OilBlendSystem.BLL.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\obj\Release\net6.0\OilBlendSystem.BLL.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 0, 1, 1, 9
